# Time (s), Angle of Attack (°), Mach Number, Speed - Velocity Magnitude (m/s), acceleration Magnitude (m/s²), X (m), Y (m), Z (m), Latitude (°), Longitude (°), Pressure (Pa), Ax (m/s²), Ay (m/s²), Az (m/s²), α1 (rad/s²), α2 (rad/s²), α3 (rad/s²), Aerodynamic Drag Force (N), thrust Power (W), Reynolds Number
0.000000,92.191055,0.033638,0.000000,0.000000,0.000000,0.000000,163.000000,39.390050,-8.289290,100000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.794100,0.000000,103100.949028
0.010000,92.191055,0.033638,-0.000000,-0.000000,-0.000000,0.000000,163.000000,39.390050,-8.289290,100000.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.794100,-0.000000,103100.949028
0.020000,92.191055,0.033638,0.000000,0.000000,0.000000,-0.000000,163.000000,39.390050,-8.289290,100000.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.794100,0.000000,103100.949028
0.030000,92.191055,0.033638,0.000000,0.000003,0.000000,-0.000000,163.000000,39.390050,-8.289290,100000.000000,0.000000,-0.000000,0.000003,-0.000000,0.000000,-0.000000,0.794100,0.000000,103100.949028
0.040000,92.191055,0.033638,-0.000000,-0.000172,-0.000000,0.000000,163.000000,39.390050,-8.289290,100000.000000,-0.000011,0.000010,-0.000171,0.000000,-0.000000,0.000000,0.794100,-0.000001,103100.949028
0.050000,92.191055,0.033638,0.000000,0.008962,0.000000,-0.000000,163.000000,39.390050,-8.289290,100000.000000,0.000571,-0.000533,0.008928,-0.000000,0.000000,-0.000000,0.794100,0.000055,103100.949017
0.060000,91.907626,0.033632,0.056771,57.201814,0.000002,-0.000002,163.000028,39.390050,-8.289290,100000.000000,3.646139,-3.400080,56.984144,0.000000,-0.000000,0.000000,0.793836,101.627426,103082.700631
0.070000,89.093944,0.033618,0.619790,56.114590,0.000218,-0.000203,163.003402,39.390050,-8.289290,100000.000000,3.576838,-3.335455,55.901057,0.000000,-0.000000,0.000000,0.793195,1100.859659,103038.455029
0.080000,86.309081,0.033684,1.177895,55.567081,0.000791,-0.000738,163.012361,39.390050,-8.289290,100000.000000,3.541939,-3.302911,55.355631,0.000000,-0.000000,0.000000,0.796113,2075.737800,103239.708059
0.090000,83.565848,0.033827,1.731080,55.072167,0.001718,-0.001602,163.026854,39.390050,-8.289290,100000.000000,3.510392,-3.273494,54.862601,0.000000,-0.000000,0.000000,0.802492,3026.454533,103678.612377
