ts,id,T,P
-0.745,BARO0,35.24,99042
-0.735,BARO0,35.23,99055
-0.725,BARO0,35.22,99049
-0.715,BARO0,35.22,99048
-0.705,BARO0,35.23,99072
-0.695,BARO0,35.21,99052
-0.685,BARO0,35.22,99049
-0.675,BARO0,35.22,99049
-0.665,BARO0,35.22,99066
-0.655,BARO0,35.23,99043
-0.645,BARO0,35.2,99056
-0.635,BARO0,35.21,99036
-0.625,BARO0,35.23,99057
-0.615,BARO0,35.21,99050
-0.605,BARO0,35.23,99047
-0.595,BARO0,35.23,99103
-0.585,BARO0,35.24,99116
-0.575,BARO0,35.23,99084
-0.565,BARO0,35.24,99033
-0.555,BARO0,35.22,99054
-0.545,BARO0,35.23,99051
-0.535,BARO0,35.22,99063
-0.525,BARO0,35.22,99052
-0.515,BARO0,35.22,99066
-0.505,BARO0,35.23,99055
-0.495,BARO0,35.23,99064
-0.485,BARO0,35.22,99046
-0.475,BARO0,35.21,99057
-0.465,BARO0,35.23,99068
-0.455,BARO0,35.22,99036
-0.445,BARO0,35.2,99038
-0.435,BARO0,35.22,99047
-0.425,BARO0,35.22,99055
-0.415,BARO0,35.21,99051
-0.405,BARO0,35.22,99061
-0.395,BARO0,35.21,99066
-0.385,BARO0,35.24,99053
-0.375,BARO0,35.21,99069
-0.365,BARO0,35.23,99064
-0.355,BARO0,35.22,99042
-0.345,BARO0,35.23,99071
-0.335,BARO0,35.22,99063
-0.325,BARO0,35.22,99039
-0.315,BARO0,35.21,99064
-0.305,BARO0,35.22,99056
-0.295,BARO0,35.24,99042
-0.285,BARO0,35.22,99050
-0.275,BARO0,35.23,99080
-0.265,BARO0,35.22,99057
-0.255,BARO0,35.23,99057
-0.245,BARO0,35.22,99052
-0.235,BARO0,35.24,99070
-0.225,BARO0,35.22,99059
-0.215,BARO0,35.22,99088
-0.205,BARO0,35.22,99041
-0.195,BARO0,35.22,99063
-0.185,BARO0,35.23,99043
-0.175,BARO0,35.23,99059
-0.165,BARO0,35.22,99053
-0.155,BARO0,35.23,99033
-0.145,BARO0,35.23,99069
-0.135,BARO0,35.22,99066
-0.125,BARO0,35.21,99044
-0.115,BARO0,35.22,99089
-0.105,BARO0,35.22,99059
-0.095,BARO0,35.23,99049
-0.085,BARO0,35.21,99059
-0.075,BARO0,35.23,99046
-0.065,BARO0,35.23,99073
-0.055,BARO0,35.23,99049
-0.045,BARO0,35.22,99064
-0.035,BARO0,35.22,99076
-0.025,BARO0,35.23,99026
-0.015,BARO0,35.22,99090
-0.005,BARO0,35.23,99051
0.005,BARO0,35.21,99073
0.015,BARO0,35.23,99040
0.025,BARO0,35.22,99033
0.035,BARO0,35.22,99045
0.045,BARO0,35.23,99041
0.055,BARO0,35.22,99051
0.065,BARO0,35.22,99054
0.075,BARO0,35.23,99056
0.085,BARO0,35.22,99046
0.095,BARO0,35.23,99056
0.105,BARO0,35.2,99028
0.115,BARO0,35.22,99043
0.125,BARO0,35.22,99050
0.135,BARO0,35.21,99061
0.145,BARO0,35.24,99000
0.155,BARO0,35.22,99022
0.165,BARO0,35.22,99015
0.175,BARO0,35.22,98996
0.185,BARO0,35.22,99034
0.195,BARO0,35.22,99000
0.205,BARO0,35.22,98998
0.215,BARO0,35.22,99040
0.225,BARO0,35.2,99013
0.235,BARO0,35.22,99023
0.245,BARO0,35.23,99028
0.255,BARO0,35.23,99033
0.265,BARO0,35.22,99026
0.275,BARO0,35.23,99016
0.285,BARO0,35.22,99021
0.295,BARO0,35.21,99005
0.305,BARO0,35.23,98989
0.315,BARO0,35.22,99022
0.325,BARO0,35.22,98992
0.335,BARO0,35.23,98972
0.345,BARO0,35.23,98953
0.355,BARO0,35.21,98990
0.365,BARO0,35.21,98962
0.375,BARO0,35.22,98982
0.385,BARO0,35.21,98952
0.395,BARO0,35.22,98960
0.405,BARO0,35.21,98984
0.415,BARO0,35.23,98969
0.425,BARO0,35.22,98945
0.435,BARO0,35.21,98944
0.445,BARO0,35.23,98935
0.455,BARO0,35.21,98943
0.465,BARO0,35.23,98943
0.475,BARO0,35.21,98914
0.485,BARO0,35.23,98941
0.495,BARO0,35.22,98923
0.505,BARO0,35.21,98921
0.515,BARO0,35.23,98910
0.525,BARO0,35.23,98894
0.535,BARO0,35.23,98933
0.545,BARO0,35.23,98912
0.555,BARO0,35.22,98881
0.565,BARO0,35.22,98877
0.575,BARO0,35.22,98882
0.585,BARO0,35.22,98883
0.595,BARO0,35.22,98899
0.605,BARO0,35.22,98853
0.615,BARO0,35.22,98890
0.625,BARO0,35.2,98875
0.635,BARO0,35.21,98862
0.645,BARO0,35.22,98866
0.655,BARO0,35.21,98826
0.665,BARO0,35.21,98839
0.675,BARO0,35.21,98835
0.685,BARO0,35.22,98831
0.695,BARO0,35.22,98837
0.705,BARO0,35.23,98800
0.715,BARO0,35.23,98818
0.725,BARO0,35.24,98807
0.735,BARO0,35.21,98796
0.745,BARO0,35.21,98790
0.755,BARO0,35.22,98788
0.765,BARO0,35.23,98775
0.775,BARO0,35.21,98761
0.785,BARO0,35.2,98765
0.795,BARO0,35.21,98761
0.805,BARO0,35.21,98763
0.815,BARO0,35.2,98739
0.825,BARO0,35.23,98779
0.835,BARO0,35.22,98716
0.845,BARO0,35.2,98727
0.855,BARO0,35.21,98718
0.865,BARO0,35.2,98715
0.875,BARO0,35.21,98719
0.885,BARO0,35.22,98718
0.895,BARO0,35.22,98680
0.905,BARO0,35.21,98680
0.915,BARO0,35.22,98702
0.925,BARO0,35.21,98650
0.935,BARO0,35.2,98664
0.945,BARO0,35.2,98665
0.955,BARO0,35.22,98640
0.965,BARO0,35.21,98630
0.975,BARO0,35.22,98639
0.985,BARO0,35.21,98633
0.995,BARO0,35.21,98614
1.005,BARO0,35.22,98605
1.015,BARO0,35.2,98621
1.025,BARO0,35.22,98571
1.035,BARO0,35.21,98544
1.045,BARO0,35.21,98551
1.055,BARO0,35.2,98559
1.065,BARO0,35.22,98553
1.075,BARO0,35.21,98517
1.085,BARO0,35.21,98522
1.095,BARO0,35.2,98498
1.105,BARO0,35.22,98482
1.115,BARO0,35.2,98500
1.125,BARO0,35.22,98496
1.135,BARO0,35.22,98515
1.145,BARO0,35.22,98470
1.155,BARO0,35.21,98479
1.165,BARO0,35.21,98447
1.175,BARO0,35.21,98426
1.185,BARO0,35.22,98407
1.195,BARO0,35.2,98414
1.205,BARO0,35.21,98396
1.215,BARO0,35.21,98394
1.225,BARO0,35.21,98392
1.235,BARO0,35.24,98358
1.245,BARO0,35.21,98356
1.255,BARO0,35.21,98371
1.265,BARO0,35.2,98325
1.275,BARO0,35.21,98310
1.285,BARO0,35.21,98284
1.295,BARO0,35.21,98289
1.305,BARO0,35.22,98279
1.315,BARO0,35.22,98290
1.325,BARO0,35.22,98231
1.335,BARO0,35.2,98278
1.345,BARO0,35.22,98241
1.355,BARO0,35.19,98238
1.365,BARO0,35.2,98195
1.375,BARO0,35.2,98187
1.385,BARO0,35.2,98171
1.395,BARO0,35.21,98167
1.405,BARO0,35.21,98156
1.415,BARO0,35.2,98128
1.425,BARO0,35.19,98102
1.435,BARO0,35.2,98139
1.445,BARO0,35.21,98104
1.455,BARO0,35.19,98098
1.465,BARO0,35.18,98094
1.475,BARO0,35.2,98087
1.485,BARO0,35.21,98058
1.495,BARO0,35.19,98061
1.505,BARO0,35.22,98060
1.515,BARO0,35.2,98040
1.525,BARO0,35.2,98038
1.535,BARO0,35.2,98042
1.545,BARO0,35.21,98019
1.555,BARO0,35.2,98017
1.565,BARO0,35.21,97974
1.575,BARO0,35.21,97978
1.585,BARO0,35.21,97942
1.595,BARO0,35.2,97933
1.605,BARO0,35.22,97918
1.615,BARO0,35.19,97879
1.625,BARO0,35.2,97915
1.635,BARO0,35.2,97948
1.645,BARO0,35.22,97901
1.655,BARO0,35.2,97878
1.665,BARO0,35.2,97862
1.675,BARO0,35.2,97850
1.685,BARO0,35.2,97828
1.695,BARO0,35.2,97814
1.705,BARO0,35.21,97821
1.715,BARO0,35.19,97798
1.725,BARO0,35.21,97848
1.735,BARO0,35.19,97795
1.745,BARO0,35.2,97780
1.755,BARO0,35.21,97768
1.765,BARO0,35.19,97738
1.775,BARO0,35.21,97732
1.785,BARO0,35.2,97727
1.795,BARO0,35.21,97684
1.805,BARO0,35.21,97689
1.815,BARO0,35.2,97677
1.825,BARO0,35.2,97669
1.835,BARO0,35.22,97663
1.845,BARO0,35.18,97606
1.855,BARO0,35.23,97604
1.865,BARO0,35.19,97597
1.875,BARO0,35.2,97562
1.885,BARO0,35.19,97562
1.895,BARO0,35.2,97551
1.905,BARO0,35.2,97536
1.915,BARO0,35.19,97512
1.925,BARO0,35.22,97542
1.935,BARO0,35.2,97540
1.945,BARO0,35.21,97506
1.955,BARO0,35.21,97459
1.965,BARO0,35.2,97440
1.975,BARO0,35.2,97422
1.985,BARO0,35.19,97416
1.995,BARO0,35.2,97408
2.005,BARO0,35.21,97389
2.015,BARO0,35.19,97342
2.025,BARO0,35.19,97368
2.035,BARO0,35.21,97366
2.045,BARO0,35.2,97344
2.055,BARO0,35.2,97300
2.065,BARO0,35.18,97286
2.075,BARO0,35.21,97264
2.085,BARO0,35.2,97259
2.095,BARO0,35.2,97245
2.105,BARO0,35.22,97222
2.115,BARO0,35.18,97199
2.125,BARO0,35.2,97207
2.135,BARO0,35.19,97161
2.145,BARO0,35.19,97160
2.155,BARO0,35.21,97158
2.165,BARO0,35.19,97139
2.175,BARO0,35.2,97128
2.185,BARO0,35.19,97100
2.195,BARO0,35.19,97085
2.205,BARO0,35.2,97135
2.215,BARO0,35.2,97094
2.225,BARO0,35.21,97087
2.235,BARO0,35.19,97064
2.245,BARO0,35.2,97054
2.255,BARO0,35.22,97033
2.265,BARO0,35.2,97023
2.275,BARO0,35.19,96980
2.285,BARO0,35.19,96960
2.295,BARO0,35.19,96955
2.305,BARO0,35.17,96882
2.315,BARO0,35.2,96924
2.325,BARO0,35.19,96901
2.335,BARO0,35.2,96889
2.345,BARO0,35.22,96876
2.355,BARO0,35.18,96851
2.365,BARO0,35.21,96816
2.375,BARO0,35.19,96795
2.385,BARO0,35.19,96816
2.395,BARO0,35.19,96798
2.405,BARO0,35.2,96745
2.415,BARO0,35.18,96733
2.425,BARO0,35.2,96745
2.435,BARO0,35.19,96675
2.445,BARO0,35.2,96689
2.455,BARO0,35.19,96638
2.465,BARO0,35.19,96648
2.475,BARO0,35.19,96638
2.485,BARO0,35.2,96621
2.495,BARO0,35.19,96542
2.505,BARO0,35.22,96573
2.515,BARO0,35.21,96552
2.525,BARO0,35.18,96565
2.535,BARO0,35.19,96530
2.545,BARO0,35.19,96505
2.555,BARO0,35.17,96477
2.565,BARO0,35.2,96481
2.575,BARO0,35.18,96426
2.585,BARO0,35.18,96416
2.595,BARO0,35.18,96435
2.605,BARO0,35.19,96371
2.615,BARO0,35.18,96366
2.625,BARO0,35.16,96358
2.635,BARO0,35.17,96330
2.645,BARO0,35.18,96266
2.655,BARO0,35.18,96280
2.665,BARO0,35.18,96264
2.675,BARO0,35.18,96238
2.685,BARO0,35.18,96226
2.695,BARO0,35.17,96222
2.705,BARO0,35.19,96155
2.715,BARO0,35.18,96156
2.725,BARO0,35.15,96149
2.735,BARO0,35.18,96111
2.745,BARO0,35.16,96048
2.755,BARO0,35.18,96076
2.765,BARO0,35.18,96058
2.775,BARO0,35.18,96023
2.785,BARO0,35.17,96015
2.795,BARO0,35.18,95980
2.805,BARO0,35.19,95983
2.815,BARO0,35.18,95959
2.825,BARO0,35.18,95966
2.835,BARO0,35.18,95924
2.845,BARO0,35.18,95877
2.855,BARO0,35.17,95844
2.865,BARO0,35.2,95838
2.875,BARO0,35.18,95830
2.885,BARO0,35.18,95781
2.895,BARO0,35.18,95753
2.905,BARO0,35.18,95756
2.915,BARO0,35.17,95708
2.925,BARO0,35.18,95711
2.935,BARO0,35.16,95709
2.945,BARO0,35.19,95685
2.955,BARO0,35.16,95666
2.965,BARO0,35.17,95641
2.975,BARO0,35.17,95606
2.985,BARO0,35.17,95563
2.995,BARO0,35.17,95569
3.005,BARO0,35.17,95581
3.015,BARO0,35.17,95522
3.025,BARO0,35.17,95516
3.035,BARO0,35.19,95488
3.045,BARO0,35.18,95446
3.055,BARO0,35.17,95450
3.065,BARO0,35.18,95407
3.075,BARO0,35.17,95406
3.085,BARO0,35.17,95378
3.095,BARO0,35.16,95289
3.105,BARO0,35.17,95267
3.115,BARO0,35.16,95262
3.125,BARO0,35.2,95256
3.135,BARO0,35.17,95182
3.145,BARO0,35.18,95201
3.155,BARO0,35.16,95160
3.165,BARO0,35.17,95142
3.175,BARO0,35.16,95117
3.185,BARO0,35.17,95122
3.195,BARO0,35.17,95087
3.205,BARO0,35.17,95083
3.215,BARO0,35.15,95053
3.225,BARO0,35.16,95028
3.235,BARO0,35.16,95019
3.245,BARO0,35.15,94999
3.255,BARO0,35.17,94985
3.265,BARO0,35.17,94942
3.275,BARO0,35.16,94914
3.285,BARO0,35.16,94896
3.295,BARO0,35.17,94911
3.305,BARO0,35.16,94845
3.315,BARO0,35.16,94862
3.325,BARO0,35.16,94812
3.335,BARO0,35.18,94808
3.345,BARO0,35.16,94740
3.355,BARO0,35.15,94713
3.365,BARO0,35.16,94690
3.375,BARO0,35.16,94675
3.385,BARO0,35.17,94621
3.395,BARO0,35.16,94615
3.405,BARO0,35.17,94622
3.415,BARO0,35.16,94578
3.425,BARO0,35.16,94536
3.435,BARO0,35.15,94510
3.445,BARO0,35.14,94454
3.455,BARO0,35.17,94473
3.465,BARO0,35.16,94448
3.475,BARO0,35.15,94475
3.485,BARO0,35.16,94425
3.495,BARO0,35.14,94373
3.505,BARO0,35.16,94369
3.515,BARO0,35.15,94348
3.525,BARO0,35.15,94313
3.535,BARO0,35.17,94319
3.545,BARO0,35.16,94290
3.555,BARO0,35.16,94253
3.565,BARO0,35.15,94225
3.575,BARO0,35.15,94193
3.585,BARO0,35.14,94175
3.595,BARO0,35.14,94144
3.605,BARO0,35.15,94140
3.615,BARO0,35.15,94067
3.625,BARO0,35.13,94043
3.635,BARO0,35.17,94033
3.645,BARO0,35.13,94018
3.655,BARO0,35.15,93958
3.665,BARO0,35.15,93894
3.675,BARO0,35.14,93894
3.685,BARO0,35.14,93886
3.695,BARO0,35.14,93852
3.705,BARO0,35.14,93834
3.715,BARO0,35.15,93767
3.725,BARO0,35.14,93745
3.735,BARO0,35.13,93768
3.745,BARO0,35.15,93717
3.755,BARO0,35.14,93680
3.765,BARO0,35.14,93653
3.775,BARO0,35.13,93630
3.785,BARO0,35.14,93598
3.795,BARO0,35.14,93609
3.805,BARO0,35.15,93560
3.815,BARO0,35.14,93569
3.825,BARO0,35.14,93478
3.835,BARO0,35.14,93443
3.845,BARO0,35.15,93395
3.855,BARO0,35.14,93367
3.865,BARO0,35.13,93346
3.875,BARO0,35.13,93317
3.885,BARO0,35.14,93303
3.895,BARO0,35.13,93254
3.905,BARO0,35.15,93247
3.915,BARO0,35.13,93208
3.925,BARO0,35.14,93175
3.935,BARO0,35.12,93167
3.945,BARO0,35.14,93102
3.955,BARO0,35.13,93081
3.965,BARO0,35.12,93035
3.975,BARO0,35.13,93007
3.985,BARO0,35.12,92962
3.995,BARO0,35.12,92902
4.005,BARO0,35.12,92933
4.015,BARO0,35.13,92876
4.025,BARO0,35.14,92830
4.035,BARO0,35.11,92814
4.045,BARO0,35.12,92765
4.055,BARO0,35.14,92728
4.065,BARO0,35.14,92688
4.075,BARO0,35.13,92671
4.085,BARO0,35.13,92636
4.095,BARO0,35.13,92593
4.105,BARO0,35.12,92568
4.115,BARO0,35.12,92515
4.125,BARO0,35.15,92520
4.135,BARO0,35.14,92472
4.145,BARO0,35.13,92438
4.155,BARO0,35.12,92417
