ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
-0.74,-2.467,6.682,-5.438,-4.436
-0.73,-2.468,6.682,-5.438,-4.436
-0.72,-2.468,6.681,-5.438,-4.436
-0.71,-2.468,6.681,-5.438,-4.436
-0.7,-2.469,6.681,-5.438,-4.436
-0.69,-2.469,6.681,-5.438,-4.437
-0.68,-2.47,6.68,-5.438,-4.437
-0.67,-2.47,6.68,-5.438,-4.437
-0.66,-2.47,6.68,-5.438,-4.437
-0.65,-2.47,6.679,-5.438,-4.437
-0.64,-2.471,6.679,-5.438,-4.438
-0.63,-2.471,6.679,-5.438,-4.437
-0.62,-2.471,6.679,-5.439,-4.437
-0.61,-2.471,6.679,-5.439,-4.437
-0.6,-2.471,6.679,-5.439,-4.437
-0.59,-2.471,6.678,-5.439,-4.437
-0.58,-2.471,6.678,-5.439,-4.437
-0.57,-2.472,6.678,-5.439,-4.438
-0.56,-2.472,6.678,-5.439,-4.438
-0.55,-2.473,6.677,-5.439,-4.438
-0.54,-2.473,6.677,-5.439,-4.438
-0.53,-2.473,6.677,-5.439,-4.439
-0.52,-2.474,6.677,-5.439,-4.439
-0.51,-2.474,6.676,-5.439,-4.439
-0.5,-2.474,6.676,-5.439,-4.439
-0.49,-2.474,6.676,-5.439,-4.439
-0.48,-2.474,6.676,-5.439,-4.439
-0.47,-2.475,6.676,-5.439,-4.439
-0.46,-2.475,6.676,-5.439,-4.439
-0.45,-2.475,6.676,-5.44,-4.438
-0.44,-2.475,6.676,-5.44,-4.438
-0.43,-2.475,6.676,-5.44,-4.439
-0.42,-2.475,6.675,-5.44,-4.439
-0.41,-2.476,6.675,-5.44,-4.439
-0.4,-2.476,6.675,-5.44,-4.439
-0.39,-2.477,6.675,-5.439,-4.44
-0.38,-2.477,6.674,-5.439,-4.44
-0.37,-2.477,6.674,-5.439,-4.44
-0.36,-2.477,6.674,-5.439,-4.44
-0.35,-2.477,6.674,-5.439,-4.44
-0.34,-2.478,6.674,-5.44,-4.44
-0.33,-2.478,6.674,-5.44,-4.44
-0.32,-2.478,6.674,-5.44,-4.44
-0.31,-2.478,6.674,-5.44,-4.44
-0.3,-2.478,6.674,-5.44,-4.44
-0.29,-2.478,6.674,-5.44,-4.44
-0.28,-2.478,6.673,-5.44,-4.44
-0.27,-2.478,6.673,-5.44,-4.44
-0.26,-2.479,6.673,-5.44,-4.44
-0.25,-2.479,6.673,-5.44,-4.441
-0.24,-2.479,6.673,-5.44,-4.441
-0.23,-2.48,6.672,-5.44,-4.441
-0.22,-2.48,6.672,-5.44,-4.441
-0.21,-2.48,6.672,-5.44,-4.441
-0.2,-2.481,6.672,-5.44,-4.442
-0.19,-2.481,6.671,-5.44,-4.442
-0.18,-2.482,6.671,-5.439,-4.442
-0.17,-2.482,6.671,-5.439,-4.443
-0.16,-2.482,6.671,-5.439,-4.442
-0.15,-2.482,6.671,-5.44,-4.442
-0.14,-2.483,6.67,-5.44,-4.442
-0.13,-2.484,6.67,-5.439,-4.443
-0.12,-2.484,6.669,-5.439,-4.444
-0.11,-2.485,6.669,-5.439,-4.444
-0.1,-2.485,6.669,-5.439,-4.443
-0.09,-2.487,6.668,-5.439,-4.444
-0.08,-2.488,6.667,-5.438,-4.445
-0.07,-2.488,6.668,-5.437,-4.446
-0.06,-2.487,6.67,-5.436,-4.445
