ts,voltage
-0.05,12.358
0.95,12.333
1.95,12.449
2.95,12.349
3.95,12.374
4.95,12.382
5.95,12.341
6.95,12.382
7.95,12.374
8.95,12.382
9.95,12.382
10.95,12.316
11.95,12.358
12.95,12.391
13.95,12.358
14.95,12.349
15.95,12.349
16.95,12.382
17.95,12.416
18.95,12.308
19.95,12.333
20.95,12.391
21.95,12.366
22.95,12.374
23.95,12.341
24.95,12.382
25.95,12.407
26.95,12.085
27.95,12.234
28.95,12.349
29.95,12.341
30.95,12.382
31.95,12.382
32.95,12.366
33.95,12.349
34.95,12.341
35.95,12.358
36.95,12.391
37.95,12.358
38.95,12.325
39.95,12.366
40.95,12.325
41.95,12.358
42.95,12.325
43.95,12.407
44.95,12.341
45.95,12.341
46.95,12.366
47.95,12.349
48.95,12.333
49.95,12.391
50.95,12.358
51.95,12.333
52.95,12.325
53.95,12.366
54.95,12.366
55.95,12.349
56.95,12.382
57.95,12.399
58.95,12.366
59.95,12.333
60.95,12.382
61.95,12.349
62.95,12.349
63.95,12.341
64.95,12.341
65.95,12.333
66.95,12.391
67.95,12.366
68.95,12.358
69.95,12.349
70.95,12.349
71.95,12.374
72.95,12.391
73.95,12.366
74.95,12.349
75.95,12.391
76.95,12.341
77.95,12.366
78.95,12.391
79.95,12.407
80.95,12.349
81.95,12.316
82.95,12.366
83.95,12.333
84.95,12.316
85.95,12.358
86.95,12.325
87.95,12.358
88.95,12.374
89.95,12.333
90.95,12.358
91.95,12.382
92.95,12.374
93.95,12.341
94.95,12.308
95.95,12.366
96.95,12.358
97.95,12.391
98.95,12.316
99.95,12.382
100.95,12.333
101.95,12.382
102.95,12.374
103.95,12.358
104.95,12.341
105.95,12.374
106.95,12.341
107.95,12.333
108.95,12.382
109.95,12.333
110.95,12.341
111.95,12.341
112.95,12.358
113.95,12.349
114.95,12.316
115.95,12.316
116.95,12.308
117.95,12.358
118.95,12.374
119.95,12.358
120.95,12.382
121.95,12.358
122.95,12.374
123.95,12.382
124.95,12.349
125.95,12.325
126.95,12.333
127.95,12.358
128.95,12.308
129.95,12.316
130.95,12.366
131.95,12.192
132.95,12.225
133.95,12.234
134.95,12.341
135.95,12.349
136.95,12.308
137.95,12.333
138.95,12.275
139.95,12.358
140.95,12.275
