# Time (s), Angle of Attack (°), Speed - Velocity Magnitude (m/s), acceleration Magnitude (m/s²), X (m), Y (m), Z (m), Latitude (°), Longitude (°), Pressure (Pa), Ax (m/s²), Ay (m/s²), Az (m/s²), Aerodynamic Drag Force (N), thrust Power (W)
0.000000,92.204355,0.000000,0.000000,0.000000,0.000000,114.000000,39.390050,-8.289290,100000.000000,0.000000,0.000000,0.000000,1.027810,0.000000
0.040000,92.204355,-0.000000,-0.000172,-0.000000,0.000000,114.000000,39.390050,-8.289290,100000.000000,-0.000011,0.000010,-0.000171,1.027810,-0.000001
0.080000,87.081780,1.177702,55.558298,0.000791,-0.000737,114.012359,39.390050,-8.289290,100000.000000,3.541379,-3.302389,55.346882,1.028877,2075.397733
0.120000,77.767513,3.360495,53.581995,0.006593,-0.006148,114.103039,39.390050,-8.289290,100000.000000,3.415406,-3.184918,53.378099,1.071190,5734.648331
0.160000,69.363057,5.464117,51.597371,0.017860,-0.016655,114.279124,39.390050,-8.289290,100000.000000,3.288903,-3.066952,51.401028,1.160878,9019.810611
0.200000,62.059014,7.488333,49.671894,0.034389,-0.032068,114.537449,39.390050,-8.289290,100000.000000,3.166170,-2.952501,49.482878,1.291171,11957.655315
0.240000,55.687110,9.490392,50.440228,0.056027,-0.052246,114.875627,39.390050,-8.289289,100000.000000,3.215145,-2.998171,50.248287,1.460705,15330.449829
0.280000,50.073072,11.523395,51.210102,0.082810,-0.077221,115.294201,39.390049,-8.289289,100000.000000,3.264218,-3.043932,51.015232,1.672070,18827.986491
0.320000,45.180595,13.587225,51.981642,0.114815,-0.107067,115.794400,39.390049,-8.289289,100000.000000,3.313397,-3.089793,51.783836,1.924513,22451.795186
0.360000,40.938873,15.681952,52.754928,0.152122,-0.141856,116.377454,39.390049,-8.289288,100000.000000,3.362687,-3.135757,52.554180,2.216881,26203.703422
0.400000,37.265323,17.807647,53.530070,0.194809,-0.181662,117.044594,39.390048,-8.289288,100000.000000,3.412096,-3.181831,53.326372,2.547646,30085.549805
0.440000,34.078606,19.964387,54.307179,0.242955,-0.226559,117.797057,39.390048,-8.289287,100000.000000,3.461631,-3.228023,54.100523,2.914919,34099.186076
0.480000,31.304928,22.152252,55.086415,0.296640,-0.276622,118.636081,39.390048,-8.289287,100000.000000,3.511300,-3.274341,54.876794,3.316461,38246.478288
0.520000,28.880245,24.371335,55.867954,0.355944,-0.331923,119.562908,39.390047,-8.289286,100000.000000,3.561117,-3.320795,55.655360,3.749692,42529.316843
0.560000,26.750349,26.621722,56.651940,0.420945,-0.392537,120.578784,39.390046,-8.289285,100000.000000,3.611090,-3.367396,56.436363,4.211682,46949.611750
0.600000,24.869935,28.903512,57.438078,0.491723,-0.458539,121.684959,39.390046,-8.289284,100000.000000,3.661199,-3.414124,57.219508,4.699151,51509.209426
0.640000,23.206446,31.209336,57.849781,0.568354,-0.529999,122.882589,39.390045,-8.289283,100000.000000,3.687442,-3.438595,57.629645,5.206568,55885.715508
0.680000,21.731563,33.531533,58.259196,0.650884,-0.606960,124.172428,39.390045,-8.289282,100000.000000,3.713542,-3.462975,58.037498,5.820423,60331.125590
